Measurement time,Number of CPUs cores,CPU 0 freq,CPU 1 freq,CPU 2 freq,CPU 3 freq,Free RAM,Used RAM,Total RAM,Free Swap,Used Swap,Total Swap,CPU load (1m),CPU load (5m),CPU load (15m),Number of processes,Number of bytes received,Number of bytes sent,Number of packets received,Number of packets sent
s,N/A,kHz,kHz,kHz,kHz,kB,kB,kB,kB,kB,kB,%,%,%,N/A,bytes,bytes,N/A,N/A
1570564323.6512952,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564324.653029,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,6.0
1570564325.652447,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,4.0
1570564326.652537,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564327.6531737,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564328.6520078,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564329.651984,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564330.6522534,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564331.6522098,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564332.6522524,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564333.6517272,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564334.65299,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564335.6523278,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564336.6522264,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564337.652564,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564338.6525445,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564339.6510308,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564340.651774,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564341.6524436,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564342.653153,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564343.6522923,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564344.6523936,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564345.6528013,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564346.6529942,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564347.6535242,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564348.65304,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564349.6522086,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564350.6531234,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564351.6530247,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564352.6529756,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564353.6524827,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564354.65324,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564355.6524754,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564356.6523998,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564357.652684,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564358.6523428,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564359.652379,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564360.6519644,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602388.0,3539124.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564361.6522503,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602136.0,3539376.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564362.6524339,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602136.0,3539376.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564363.6525652,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602136.0,3539376.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564364.6523001,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602136.0,3539376.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564365.6526785,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602136.0,3539376.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564366.6526663,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602136.0,3539376.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564367.652331,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602136.0,3539376.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564368.652708,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602136.0,3539376.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564369.6528733,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602136.0,3539376.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564370.652471,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602136.0,3539376.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564371.6528535,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602136.0,3539376.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564372.6524613,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602136.0,3539376.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564373.65217,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602136.0,3539376.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564374.6530228,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602136.0,3539376.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564375.6530087,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602136.0,3539376.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564376.6526704,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602136.0,3539376.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564377.6528265,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602136.0,3539376.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
1570564378.652677,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602136.0,3539376.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,296.0,330.0,894.0,5.0,5.0
